balance,income,student_status,marriage_status,limit,marriage_student
734,49.794,Not student,Not married,5758,unmarried unstudent
0,24.46,Not student,Married,1924,married unstudent
815,55.367,Not student,Married,6340,married unstudent
227,107.986,Not student,Married,6033,married unstudent
1000,20.974,Not student,Married,5673,married unstudent
0,25.988,Not student,Not married,1349,unmarried unstudent
0,15.333,Not student,Married,1499,married unstudent
265,27.229,Not student,Not married,3484,unmarried unstudent
450,30.42,Not student,Not married,4442,unmarried unstudent
945,16.103,Not student,Married,5390,married unstudent
411,64.027,Not student,Married,5179,married unstudent
829,23.949,Not student,Married,5343,married unstudent
211,39.705,Not student,Married,3969,married unstudent
538,55.187,Not student,Married,5352,married unstudent
711,24.919,Not student,Married,5051,married unstudent
1311,83.851,Not student,Not married,8494,unmarried unstudent
1048,36.508,Not student,Married,6386,married unstudent
638,10.793,Not student,Not married,3878,unmarried unstudent
903,106.025,Student,Married,6645,married student
907,21.551,Not student,Married,5380,married unstudent
0,92.112,Not student,Not married,4612,unmarried unstudent
1355,72.945,Not student,Not married,8603,unmarried unstudent
768,69.251,Not student,Married,6386,married unstudent
1048,42.079,Not student,Not married,6626,unmarried unstudent
210,12.031,Not student,Married,3182,married unstudent
81,25.078,Not student,Married,3096,married unstudent
136,15.866,Not student,Not married,3085,unmarried unstudent
0,41.4,Not student,Married,2561,married unstudent
187,36.355,Not student,Married,3613,married unstudent
967,30.55,Not student,Not married,5869,unmarried unstudent
712,53.566,Not student,Not married,5891,unmarried unstudent
717,19.349,Not student,Married,4941,married unstudent
728,30.413,Student,Not married,3690,unmarried student
790,113.772,Student,Married,6442,married student
195,10.627,Student,Married,1647,married student
191,10.503,Not student,Married,2923,married unstudent
375,36.295,Student,Not married,2963,unmarried student
0,30.132,Not student,Not married,2168,unmarried unstudent
0,11.808,Not student,Not married,1300,unmarried unstudent
1380,14.312,Student,Not married,5382,unmarried student
0,27.272,Not student,Married,1389,married unstudent
1241,19.531,Student,Married,5043,married student
1054,20.405,Student,Not married,4543,unmarried student
148,29.705,Not student,Married,3351,married unstudent
1023,20.191,Not student,Married,5767,married unstudent
653,38.954,Not student,Not married,5222,unmarried unstudent
601,23.989,Not student,Not married,4523,unmarried unstudent
0,25.936,Not student,Not married,1774,unmarried unstudent
1081,43.682,Not student,Married,6922,married unstudent
1092,33.657,Not student,Not married,6196,unmarried unstudent
856,58.165,Not student,Married,6617,married unstudent
0,57.202,Not student,Not married,3411,unmarried unstudent
611,12.335,Not student,Married,4471,married unstudent
0,15.602,Not student,Married,906,married unstudent
336,28.508,Not student,Married,3933,married unstudent
69,50.699,Not student,Not married,3977,unmarried unstudent
654,42.471,Student,Not married,3625,unmarried student
0,27.039,Not student,Not married,2161,unmarried unstudent
0,34.509,Not student,Married,2001,married unstudent
204,80.616,Not student,Married,5308,married unstudent
0,13.676,Not student,Not married,2330,unmarried unstudent
230,51.345,Not student,Not married,4327,unmarried unstudent
957,16.304,Not student,Married,5466,married unstudent
789,58.929,Not student,Married,6420,married unstudent
1677,140.672,Not student,Married,11200,married unstudent
654,36.362,Not student,Married,5183,married unstudent
0,20.089,Not student,Married,2525,married unstudent
1075,15.079,Not student,Married,5673,married unstudent
16,20.918,Student,Married,1233,married student
410,10.735,Not student,Married,3746,married unstudent
474,12.581,Not student,Married,3976,married unstudent
534,35.864,Not student,Married,4831,married unstudent
844,23.375,Not student,Married,5429,married unstudent
0,29.564,Not student,Married,2529,married unstudent
345,89,Not student,Not married,5759,unmarried unstudent
0,42.915,Not student,Married,2532,married unstudent
133,14.132,Not student,Not married,2998,unmarried unstudent
1048,73.914,Not student,Married,7333,married unstudent
52,15.476,Not student,Not married,2762,unmarried unstudent
905,26.4,Not student,Not married,5640,unmarried unstudent
145,20.936,Not student,Not married,3254,unmarried unstudent
657,25.124,Not student,Married,4776,married unstudent
1597,107.841,Not student,Not married,10384,unmarried unstudent
0,75.406,Not student,Married,3874,married unstudent
1298,63.534,Not student,Married,8100,married unstudent
633,48.218,Not student,Married,5199,married unstudent
835,34.664,Not student,Married,5835,married unstudent
480,13.364,Not student,Not married,3838,unmarried unstudent
0,31.353,Not student,Married,1705,married unstudent
0,60.449,Not student,Married,3098,married unstudent
1255,16.751,Student,Not married,4706,unmarried student
689,15.741,Not student,Married,4788,married unstudent
368,36.496,Not student,Married,4378,married unstudent
309,24.088,Not student,Married,3665,married unstudent
1259,123.299,Student,Not married,8376,unmarried student
0,13.444,Not student,Married,886,married unstudent
99,53.48,Not student,Not married,4263,unmarried unstudent
1046,46.007,Not student,Married,6637,married unstudent
580,104.593,Not student,Not married,7075,unmarried unstudent
594,24.23,Not student,Married,4756,married unstudent
132,28.474,Not student,Married,3202,married unstudent
199,19.588,Not student,Not married,3211,unmarried unstudent
1549,33.437,Student,Not married,6207,unmarried student
162,27.369,Not student,Married,3449,married unstudent
0,13.433,Not student,Married,1134,married unstudent
1388,113.829,Not student,Married,9704,married unstudent
269,54.319,Student,Not married,3063,unmarried student
89,17.7,Not student,Not married,2860,unmarried unstudent
1404,26.427,Student,Married,5533,married student
295,59.855,Not student,Married,4964,married unstudent
1426,130.209,Not student,Married,10088,married unstudent
0,32.916,Not student,Married,1786,married unstudent
902,43.479,Student,Married,4569,married student
0,10.726,Not student,Married,1568,married unstudent
710,19.636,Not student,Not married,4896,unmarried unstudent
661,33.214,Not student,Not married,5137,unmarried unstudent
0,30.012,Not student,Married,1511,married unstudent
250,128.04,Not student,Married,6982,married unstudent
136,68.462,Not student,Married,4712,married unstudent
560,12.096,Not student,Married,4100,married unstudent
